Watershed_ID,Time_period,Stream_order,Sites_with_BT_present,Sites_with_BT_absent,Sample_number
2EC-19,Past,1,6,2,1
2EC-19,Past,2,2,2,1
2EC-19,Past,3,5,2,1
2EC-19,Past,4,2,0,1
2EC-19,Present,1,4,14,1
2EC-19,Present,2,7,10,1
2EC-19,Present,3,25,7,1.375
2EC-19,Present,4,6,9,1.066666667
2EC-19,Present,5,0,172,1
2FA-10,Past,1,11,0,1
2FA-10,Past,2,11,8,1.105263158
2FA-10,Past,3,9,7,1.1875
2FA-10,Past,4,1,2,1.333333333
2FA-10,Present,1,1,0,1
2FA-10,Present,2,5,1,1.333333333
2FA-10,Present,3,1,2,1.333333333
2FA-10,Present,4,0,1,2
2FB-05,Past,1,6,5,1.090909091
2FB-05,Past,2,14,3,1.058823529
2FB-05,Past,3,17,17,1.176470588
2FB-05,Past,4,1,2,1.333333333
2FB-05,Past,5,0,7,1
2FB-05,Present,1,1,4,1
2FB-05,Present,2,0,2,1.5
2FB-05,Present,3,3,5,1.75
2FB-05,Present,4,0,3,2
2FB-05,Present,5,0,3,1.333333333
2FB-06,Past,1,6,3,1
2FB-06,Past,2,3,3,1.5
2FB-06,Past,3,5,1,1.166666667
2FB-06,Past,4,3,6,1.222222222
2FB-06,Past,5,5,5,1.1
2FB-06,Past,6,2,4,1.166666667
2FB-06,Present,1,3,5,1
2FB-06,Present,3,2,1,1
2FB-06,Present,4,0,2,2
2FB-06,Present,5,0,1,2
2ED-09,Past,1,4,18,1
2ED-09,Past,2,5,10,1
2ED-09,Past,3,7,19,1.038461538
2ED-09,Past,4,3,11,1
2ED-09,Past,5,0,7,1
2ED-09,Past,6,0,19,1
2ED-09,Present,1,5,16,1
2ED-09,Present,2,7,52,1.016949153
2ED-09,Present,3,5,44,1.020408163
2ED-09,Present,4,2,38,1.025
2ED-09,Present,5,1,15,1.5
2ED-09,Present,6,0,29,1
2GA-01,Past,1,1,2,1
2GA-01,Past,2,1,6,1
2GA-01,Past,3,3,8,1
2GA-01,Past,4,5,10,1
2GA-01,Past,5,0,1,1
2GA-01,Present,1,3,15,1
2GA-01,Present,2,4,13,1
2GA-01,Present,3,5,19,1
2GA-01,Present,4,4,11,1
2GA-01,Present,5,0,28,1
2GB-05,Past,1,0,4,1
2GB-05,Past,2,2,10,1
2GB-05,Past,3,0,3,1
2GB-05,Past,4,0,2,1
2GB-05,Past,5,0,5,1
2GB-05,Past,6,0,1,1
2GB-05,Present,1,4,15,1
2GB-05,Present,2,11,19,1
2GB-05,Present,3,5,10,1
2GB-05,Present,4,0,1,1
2GB-05,Present,6,0,7,1
2ED-09,Past,1,5,7,1
2ED-09,Past,2,2,3,1
2ED-09,Past,3,2,5,1
2ED-09,Past,4,2,7,1
2ED-09,Past,5,1,3,1
2ED-09,Past,6,0,9,1
2ED-09,Present,1,13,10,1.434782609
2ED-09,Present,2,18,18,2.25
2ED-09,Present,3,21,24,3.511111111
2ED-09,Present,4,19,21,4.575
2ED-09,Present,5,11,8,4.526315789
2ED-09,Present,6,2,15,4.235294118
2HB-02,Past,1,0,6,1.333333333
2HB-02,Past,2,5,11,1.0625
2HB-02,Past,3,4,12,1.125
2HB-02,Past,4,12,26,1.184210526
2HB-02,Past,5,0,16,1.1875
2HB-02,Past,6,0,5,1.4
2HB-02,Present,1,0,42,1.119047619
2HB-02,Present,2,1,78,1.303797468
2HB-02,Present,3,1,90,1.340659341
2HB-02,Present,4,4,42,1.413043478
2HB-02,Present,5,0,15,2.266666667
2HB-02,Present,6,1,14,1.266666667
2EC-04,Past,1,2,7,1.111111111
2EC-04,Past,2,1,3,1
2EC-04,Past,3,0,2,1
2EC-04,Past,4,1,2,1.333333333
2EC-04,Present,1,1,3,1
2EC-04,Present,2,4,18,1.045454545
2EC-04,Present,3,13,15,1.035714286
2EC-04,Present,4,25,27,1
2EC-04,Present,5,13,8,1.047619048
2EC-04,Present,6,2,24,1
2HJ-01,Past,1,4,1,14.6
2HJ-01,Past,2,6,2,1
2HJ-01,Past,3,0,2,1
2HJ-01,Past,4,2,2,1
2HJ-01,Past,5,9,0,3.222222222
2HJ-01,Present,1,1,1,1
2HJ-01,Present,2,6,7,1
2HJ-01,Present,3,7,13,1
2HJ-01,Present,4,4,8,1
2HJ-01,Present,5,1,14,1
